taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Neopolyporolithon reclinatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Neorhodomela aculeata,red turf,finely branching,red turf,red turf,turf,turf,turf,
Neorhodomela larix,red turf,finely branching,red turf,red turf,turf,turf,turf,
Neorhodomela oregona,red turf,finely branching,red turf,red turf,turf,turf,turf,
Neorhodomela oregona?,red turf,finely branching,red turf,red turf,turf,turf,turf,
Nereocystis luetkeana,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Nitophyllum dotyi,red turf,sheet,red turf,red turf,turf,turf,turf,
Nitophyllum dotyi ?,red turf,sheet,red turf,red turf,turf,turf,turf,
Nitophyllum sp.,red turf,sheet,red turf,red turf,turf,turf,turf,
Odonthalia floccosa,red turf,finely branching,red turf,red turf,turf,turf,turf,
Odonthalia floccosa f. comosa,red turf,finely branching,red turf,red turf,turf,turf,turf,
Opuntiella californica,blade,thick leathery,blade,blade,blade,blade,blade,could also be turf
Osmundea spectabilis,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Palmaria hecatensis,red turf,thick leathery,red turf,red turf,turf,turf,blade,
Palmaria mollis,red turf,thick leathery,red turf,red turf,turf,turf,blade,
Petalonia,brown turf,sheet,brown turf,brown turf,turf,turf,turf,could also be blade
Petalonia fascia,brown turf,sheet,brown turf,brown turf,turf,turf,turf,could also be blade
Petrocelis,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Petrocelis thick,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Petrocelis thin,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Peyssonnelia,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Peyssonnelia sp.,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Phycodrys fimbriata ?,red turf,finely branching,red turf,red turf,turf,turf,turf,
Phycodrys?,red turf,finely branching,red turf,red turf,turf,turf,turf,
Phycodrys sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Phyllospadix spp.,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,
Phyllospadix,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,
Phyllospadix torreyi,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,
Phyllospadix scouleri,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,
Phyllospadix serrulatus,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,
Pleonosporium vancouverianum,filament,filament,filament,filament,filament,filament,NA,"Tiny filament, not real spaceholder"
Plocamium pacificum,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Plocamium violaceum,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Polsiphonia pacifica,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polyneura latissima,red turf,sheet,red turf,red turf,turf,turf,turf,could also be blade
Polysiphonia,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia brodiei,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia hendryi,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia hendryi var. garderi,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia hendryi var. gardneri,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia hendryi var. hendryi,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia hendryi var. luxuriens,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia pacifica,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia pacifica var delicatula,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia pacifica? turf,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia paniculata,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
