taxon_corrected,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Laminaria yezoensis,Laminaria yezoensis,Laminaria yezoensis,Laminaria yezoensis,Laminaria yezoensis,Algae,sessile,
Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Algae,sessile,
Leptasterias sp.,Leptasterias sp.,Leptasterias sp.,Leptasterias sp.,Leptasterias sp.,Animal,motile,
Leptofauchea sp.,Leptofauchea sp.,Leptofauchea sp.,Leptofauchea sp.,Leptofauchea sp.,Algae,sessile,
Ligia sp.,Ligia sp.,Ligia sp.,Ligia sp.,Ligia sp.,Animal,motile,
Limpet,Limpet,Limpet,Limpet,Limpet,Animal,motile,
Lithophyllum impressum,Lithophyllum impressum,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Lithophyllum sp.,Lithophyllum sp.,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Lithophyllum sp. 1,Lithophyllum sp. 1,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Lithophyllum sp. 2,Lithophyllum sp. 2,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Lithophyllum sp. 8,Lithophyllum sp. 8,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Lithothamnion glaciale,Lithothamnion glaciale,Lithothamnion glaciale,Lithothamnion glaciale,Lithothamnion glaciale,Algae,sessile,
Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,
Littorina scutulata,Littorina scutulata,Littorina scutulata,Littorina scutulata,Littorina scutulata,Animal,motile,
Littorina sp.,Littorina sp.,Littorina sp.,Littorina sp.,Littorina sp.,Animal,motile,
Lomentaria hakodatensis,Lomentaria hakodatensis,Lomentaria hakodatensis,Lomentaria hakodatensis,Lomentaria hakodatensis,Algae,sessile,
Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Animal,motile,
Lottia sp.,Lottia sp.,Lottia sp.,Lottia sp.,Lottia sp.,Animal,motile,
Macrocystis pyrifera,Macrocystis pyrifera,Macrocystis pyrifera,Macrocystis pyrifera,Macrocystis pyrifera,Algae,sessile,
Mastocarpus agardhii,Mastocarpus agardhii,Mastocarpus agardhii,Mastocarpus,Mastocarpus,Algae,sessile,"M. agardhii is distinct from others, but we will have to do something with these!!"
Mastocarpus alaskensis,Mastocarpus alaskensis,Mastocarpus alaskensis,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mastocarpus intermedius,Mastocarpus intermedius,Mastocarpus intermedius,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mastocarpus pachenicus,Mastocarpus pachenicus,Mastocarpus pachenicus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mastocarpus sp,Mastocarpus sp,Mastocarpus sp,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT
Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,
Mazzaella parksii,Mazzaella parksii,Mazzaella parksii,Mazzaella parksii,Mazzaella parksii,Algae,sessile,
Mazzaella parvula,Mazzaella parvula,Mazzaella parvula,Mazzaella parvula,Mazzaella parvula,Algae,sessile,
Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,
Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Algae,sessile,
Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Algae,sessile,
Melobesia sp.,Melobesia sp.,Melobesia sp.,Melobesia sp.,Melobesia sp.,Algae,sessile,
Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Animal,motile,
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Algae,sessile,
Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,
Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Algae,sessile,
Mopalia sp.,Mopalia sp.,Mopalia sp.,Mopalia sp.,Mopalia sp.,Animal,motile,
Mysid,Mysid,Mysid,Mysid,Mysid,Animal,motile,
Mytilus sp.,Mytilus sp.,Mytilus sp.,Mytilus sp.,Mytilus sp.,Animal,sessile,
Mytilus trossulus,Mytilus trossulus,Mytilus trossulus,Mytilus sp.,Mytilus sp.,Animal,sessile,
Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,
Nemertea,Nemertea,Nemertea,Nemertea,Nemertea,Animal,motile,
Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Algae,sessile,
Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Algae,sessile,
Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,
Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,
Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Algae,sessile,
Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,
Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Algae,sessile,
Nereid,Nereid,Nereid,Nereid,Nereid,Animal,motile,
Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Algae,sessile,
Nucella lamellosa,Nucella lamellosa,Nucella,Nucella,Nucella,Animal,motile,
Nucella sp.,Nucella sp.,Nucella,Nucella,Nucella,Animal,motile,
Nudipleura,Nudipleura,Nudipleura,Nudipleura,Nudipleura,Animal,motile,
Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Algae,sessile,These are distinct
Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Algae,sessile,These are distinct
Onchidella borealis,Onchidella borealis,Onchidella,Onchidella,Onchidella,Animal,motile,
Onchidella sp.,Onchidella sp.,Onchidella,Onchidella,Onchidella,Animal,motile,
Opuntiella californica,Opuntiella californica,Opuntiella californica,Opuntiella californica,Opuntiella californica,Algae,sessile,
Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Algae,sessile,
Pagarus sp.,Pagarus sp.,Pagarus sp.,Pagarus sp.,Pagarus sp.,Animal,motile,
Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Algae,sessile,
Palmaria mollis,Palmaria mollis,Palmaria mollis,Palmaria mollis,Palmaria mollis,Algae,sessile,
Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Animal,motile,
Petalonia fascia,Petalonia fascia,Petalonia fascia,Petalonia fascia,Petalonia fascia,Algae,sessile,
Petrocelis,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,
Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,
Pholidae,Pholidae,Pholidae,Pholidae,Pholidae,Animal,motile,
Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Algae,sessile,
Phyllospadix scouleri,Phyllospadix scouleri,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix serrulatus,Phyllospadix serrulatus,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,
Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Algae,sessile,
Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Algae,sessile,
Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,
Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Animal,sessile,
Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,
Polychaete,Polychaete,Polychaete,Polychaete,Polychaete,Animal,motile,
Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,
Polysiphonia brodiei,Polysiphonia brodiei,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi,Polysiphonia hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. gardneri,Polysiphonia hendryi var. gardneri,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. hendryi,Polysiphonia hendryi var. hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. luxuriens,Polysiphonia hendryi var. luxuriens,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica var delicatula,Polysiphonia pacifica var delicatula,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia paniculata,Polysiphonia paniculata,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia sp.,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Porifera,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,
Prionitis sp.,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,
Prionitis sternbergii,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019
Pseudolithophyllum muricatum,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon_revised to Crusticorallina muricata 20200421; taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,
Pterosiphonia bipinnata,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,
