taxon,taxon_corrected,kingdom,sessile,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Petrocelis,Petrocelis,Algae,sessile,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA
Petrocelis thick,Petrocelis,Algae,sessile,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA
Petrocelis thin,Petrocelis,Algae,sessile,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA
Peyssonnelia,Peyssonnelia sp.,Algae,sessile,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,NA
Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,NA
Pholidae,Pholidae,Animal,motile,Pholidae,Pholidae,Pholidae,Pholidae,Animal,motile,NA
Phyllospadix scouleri,Phyllospadix scouleri,Algae,sessile,Phyllospadix scouleri,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA
Phyllospadix serrulatus,Phyllospadix serrulatus,Algae,sessile,Phyllospadix serrulatus,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA
Phyllospadix,Phyllospadix sp.,Algae,sessile,Phyllospadix sp.,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Phyllospadix torreyi,Phyllospadix torreyi,Algae,sessile,Phyllospadix torreyi,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA
Phyllospadix torreyi,Phyllospadix torreyi,Algae,sessile,Phyllospadix torreyi,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA
Pisaster,Pisaster ochraceus,Animal,motile,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,NA
Pisaster ochraceous,Pisaster ochraceus,Animal,motile,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,NA
Pisaster ochraceus,Pisaster ochraceus,Animal,motile,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,NA
Pisaster or similar sea star,Pisaster ochraceus,Animal,motile,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,NA
Pleonosporium vancouverianum,Pleonosporium vancouverianum,Algae,sessile,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Algae,sessile,NA
Plocamium pacificum,Plocamium pacificum,Algae,sessile,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Algae,sessile,NA
Plocamium violaceum,Plocamium violaceum,Algae,sessile,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA
Pododesmus,Pododesmus sp.,Animal,sessile,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Animal,sessile,NA
"Barnacles, goose-necked",Pollicipes polymerus,Animal,sessile,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,NA
Gooseneck barnacles,Pollicipes polymerus,Animal,sessile,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,NA
Pollicipes polymerus,Pollicipes polymerus,Animal,motile,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,NA
Pollicipes,Pollicipes polymerus,Animal,motile,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,NA
Polychaete,Polychaete,Animal,motile,Polychaete,Polychaete,Polychaete,Polychaete,Animal,motile,NA
Phycodrys fimbriata ?,Polyneura latissima,Algae,sessile,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA
Phycodrys?,Polyneura latissima,Algae,sessile,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA
Polyneura latissima,Polyneura latissima,Algae,sessile,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA
Polysiphonia brodiei,Polysiphonia brodiei,Algae,sessile,Polysiphonia brodiei,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi,Polysiphonia hendryi,Algae,sessile,Polysiphonia hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. garderi,Polysiphonia hendryi var. gardneri,Algae,sessile,Polysiphonia hendryi var. gardneri,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. gardneri,Polysiphonia hendryi var. gardneri,Algae,sessile,Polysiphonia hendryi var. gardneri,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. hendryi,Polysiphonia hendryi var. hendryi,Algae,sessile,Polysiphonia hendryi var. hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. luxuriens,Polysiphonia hendryi var. luxuriens,Algae,sessile,Polysiphonia hendryi var. luxuriens,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polsiphonia pacifica,Polysiphonia pacifica,Algae,sessile,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica,Polysiphonia pacifica,Algae,sessile,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica? turf,Polysiphonia pacifica,Algae,sessile,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica var delicatula,Polysiphonia pacifica var delicatula,Algae,sessile,Polysiphonia pacifica var delicatula,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica var distans,Polysiphonia pacifica var. distans,Algae,sessile,Polysiphonia pacifica var. distans,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,NA
Polysiphonia paniculata,Polysiphonia paniculata,Algae,sessile,Polysiphonia paniculata,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia,Polysiphonia sp.,Algae,sessile,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia sp.,Polysiphonia sp.,Algae,sessile,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia spp,Polysiphonia sp.,Algae,sessile,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia stricta / senticulosa,Polysiphonia sp.,Algae,sessile,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Orange sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Orange Sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Purple sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Tan Sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Unknown orange sponge,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Porifera,Porifera,Animal,sessile,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Porphyrella gardneri,Porphyrella gardneri,Algae,sessile,Porphyrella gardneri,Porphyrella gardneri,Porphyrella gardneri,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia gardneri,Porphyrella gardneri,Algae,sessile,Porphyrella gardneri,Porphyrella gardneri,Porphyrella gardneri,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Prionitis sternbergii lanceolata,Prionitis sp.,Algae,sessile,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,NA
Prionitis lanceolata,Prionitis sp.,Algae,sessile,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,NA
Prionitis lanceoloata,Prionitis sp.,Algae,sessile,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,NA
Prionitis?,Prionitis sp.,Algae,sessile,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,NA
Prionitis sternbergii,Prionitis sternbergii,Algae,sessile,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019
Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,NA
Pterosiphonia gracilis,Pterosiphonia gracilis,Algae,sessile,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Algae,sessile,changed in 2019
Pterosiphonia,Pterosiphonia sp.,Algae,sessile,Pterosiphonia sp.,Pterosiphonia sp.,Pterosiphonia sp.,Pterosiphonia sp.,Algae,sessile,NA
Pterygophora californica,Pterygophora californica,Algae,sessile,Pterygophora californica,Pterygophora californica,Pterygophora californica,Pterygophora californica,Algae,sessile,NA
Ptilota serrata,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Ptilota serrata filicina,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Ptilota filicina,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Ptilota sp.,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Ptilota spp.,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Ptilota tenuis,Ptilota filicina,Algae,sessile,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA
Kelp crab,Pugettia producta,Animal,motile,Pugettia producta,Pugettia,Pugettia,Pugettia,Animal,motile,NA
Pugettia producta,Pugettia producta,Animal,motile,Pugettia producta,Pugettia,Pugettia,Pugettia,Animal,motile,NA
Pugettia,Pugettia sp.,Animal,motile,Pugettia sp.,Pugettia,Pugettia,Pugettia,Animal,motile,NA
Punctaria,Punctaria sp.,Algae,sessile,Punctaria sp.,Punctaria sp.,Punctaria sp.,Punctaria sp.,Algae,sessile,NA
Punctaria sp.,Punctaria sp.,Algae,sessile,Punctaria sp.,Punctaria sp.,Punctaria sp.,Punctaria sp.,Algae,sessile,NA
Pycnopodia,Pycnopodia helianthoides,Animal,motile,Pycnopodia helianthoides,Pycnopodia helianthoides,Pycnopodia helianthoides,Pycnopodia helianthoides,Animal,motile,NA
Pylaiella littoralis,Pylaiella littoralis,Algae,sessile,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Algae,sessile,NA
Porphyra abbottiae,Pyropia abbottiae,Algae,sessile,Pyropia abbottiae,Pyropia abbottiae,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Porphyra abbottiea,Pyropia abbottiae,Algae,sessile,Pyropia abbottiae,Pyropia abbottiae,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia abbottiae,Pyropia abbottiae,Algae,sessile,Pyropia abbottiae,Pyropia abbottiae,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia fallax,Pyropia fallax,Algae,sessile,Pyropia fallax,Pyropia fallax,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia pulchra,Pyropia pulchra,Algae,sessile,Pyropia pulchra,Pyropia pulchra,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia smithii,Pyropia pulchra,Algae,sessile,Pyropia pulchra,Pyropia pulchra,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,NA
Pyropia sp.,Pyropia sp.,Algae,sessile,Pyropia sp.,Pyropia sp.,Pyropia,Pyropia/Neoporphyra/Porphyrella,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Ralfisa,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia fungiformis,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia pacifica,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia sp,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia sp [brown crust],Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Ralfsia sp.,Ralfsioid,Algae,sessile,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Rhizoclonium tortuosum,Rhizoclonium tortuosum,Algae,sessile,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Algae,sessile,NA
Rhodochorton purpureum,Rhodochorton purpureum,Algae,sessile,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Algae,sessile,NA
Rhodocorton purpureum,Rhodochorton purpureum,Algae,sessile,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Algae,sessile,NA
Rhodymenia sp.,Rhodymenia sp.,Algae,sessile,Rhodymenia sp.,Rhodymenia sp.,Rhodymenia sp.,Rhodymenia sp.,Algae,sessile,NA
Riterella pulchra,Riterella pulchra,Animal,sessile,Riterella pulchra,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Saccharina latissima,Saccharina latissima,Algae,sessile,Saccharina latissima,Saccharina latissima,Saccharina latissima,Saccharina latissima,Algae,sessile,NA
Saccharina latissimus,Saccharina latissima,Algae,sessile,Saccharina latissima,Saccharina latissima,Saccharina latissima,Saccharina latissima,Algae,sessile,NA
Pugetia firma,Salishia firma,Algae,sessile,Salishia firma,Salishia firma,Salishia firma,Salishia firma,Algae,sessile,NA
Pugettia firma,Salishia firma,Algae,sessile,Salishia firma,Salishia firma,Salishia firma,Salishia firma,Algae,sessile,NA
Salishia firma,Salishia firma,Algae,sessile,Salishia firma,Salishia firma,Salishia firma,Salishia firma,Algae,sessile,NA
Sand,Sand,Substratum,NA,Sand,Sand,Sand,Sand,Substratum,NA,NA
Sargassum muticum,Sargassum muticum,Algae,sessile,Sargassum muticum,Sargassum muticum,Sargassum muticum,Sargassum muticum,Algae,sessile,NA
Pterosiphonia bipinata,Savoiea robusta,Algae,sessile,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019
Pterosiphonia bipinnata,Savoiea robusta,Algae,sessile,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019
Savoiea robusta,Savoiea robusta,Algae,sessile,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019
Scagelia occidentale,Scagelia occidentale,Algae,sessile,Scagelia occidentale,Scagelia occidentale,Scagelia occidentale,Scagelia occidentale,Algae,sessile,NA
Schizymenia pacifica,Schizymenia pacifica,Algae,sessile,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Algae,sessile,NA
Scytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,NA
Sytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,NA
Scytosiphon lomentaria,Scytosiphon lomentaria,Algae,sessile,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Algae,sessile,NA
Scytosiphon lomentarii,Scytosiphon lomentaria,Algae,sessile,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Algae,sessile,NA
Sea stars,Sea star,Animal,motile,Sea star,Sea star,Sea star,Sea star,Animal,motile,NA
"Barnacles, acorn",Semibalanus cariosus,Animal,sessile,Semibalanus cariosus,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Semibalanus cariosus,Semibalanus cariosus,Animal,sessile,Semibalanus cariosus,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Semibalanus sp.,Semibalanus cariosus,Animal,sessile,Semibalanus cariosus,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Shrimp,Shrimp,Animal,motile,Shrimp,Shrimp,Shrimp,Shrimp,Animal,motile,NA
Smithora naiadum,Smithora naiadum,Algae,sessile,Smithora naiadum,Smithora naiadum,Smithora naiadum,Smithora naiadum,Algae,sessile,NA
Margarites or Calliostoma,Snail,Animal,motile,Snail,Snail,Snail,Snail,Animal,motile,NA
Snail,Snail,Animal,motile,Snail,Snail,Snail,Snail,Animal,motile,NA
Other snails,Snail,Animal,motile,Snail,Snail,Snail,Snail,Animal,motile,NA
Soranthera ulvoidea,Soranthera ulvoidea,Algae,sessile,Soranthera ulvoidea,Soranthera ulvoidea,Soranthera ulvoidea,Soranthera ulvoidea,Algae,sessile,NA
Sparlingia pertusa,Sparlingia pertusa,Algae,sessile,Sparlingia pertusa,Sparlingia pertusa,Sparlingia pertusa,Sparlingia pertusa,Algae,sessile,NA
Sphacelaria rigidula,Sphacelaria rigidula,Algae,sessile,Sphacelaria rigidula,Sphacelaria rigidula,Sphacelaria rigidula,Sphacelaria rigidula,Algae,sessile,NA
Spirorbidae,Spirorbidae,Animal,sessile,Spirorbidae,Spirorbidae,Tube worms,Tube worms,Animal,sessile,NA
Spirorbis,Spirorbis,Animal,sessile,Spirorbis,Spirorbis,Tube worms,Tube worms,Animal,sessile,NA
Green urchin,Strongylocentrotus droebachiensis,Animal,motile,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Animal,motile,NA
Purple urchin,Strongylocentrotus purpuratus,Animal,sessile,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,NA
Purple Urchin,Strongylocentrotus purpuratus,Animal,motile,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,NA
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,NA
Styela,Styela sp.,Animal,sessile,Styela sp.,Styela sp.,Styela sp.,Styela sp.,Animal,sessile,NA
Styella,Styela sp.,Animal,sessile,Styela sp.,Styela sp.,Styela sp.,Styela sp.,Animal,sessile,NA
Pterosiphonia dendroidea,Symphyocladiella dendroidea,Algae,sessile,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,name changed in 2019
Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,name changed in 2019
Chlorostoma,Tegula sp.,Animal,motile,Tegula sp.,Tegula sp.,Tegula sp.,Tegula sp.,Animal,motile,NA
Chlorostoma snails,Tegula sp.,Animal,motile,Tegula sp.,Tegula sp.,Tegula sp.,Tegula sp.,Animal,motile,NA
Tegula,Tegula sp.,Animal,motile,Tegula sp.,Tegula sp.,Tegula sp.,Tegula sp.,Animal,motile,NA
Tiffaniella snyderae,Tiffaniella snyderae,Algae,sessile,Tiffaniella snyderae,Tiffaniella snyderae,Tiffaniella snyderae,Tiffaniella snyderae,Algae,sessile,NA
Tokidadendron bullatum,Tokidadendron bullatum,Algae,sessile,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Algae,sessile,NA
Tonicella lineata,Tonicella lineata,Animal,motile,Tonicella lineata,Tonicella lineata,Tonicella lineata,Tonicella lineata,Animal,motile,NA
Tonicella,Tonicella sp.,Animal,motile,Tonicella sp.,Tonicella sp.,Tonicella sp.,Tonicella sp.,Animal,motile,NA
Sandy worm tubes,Tube worm,Animal,sessile,Tube worm,Tube worm,Tube worm,Tube worm,Animal,sessile,NA
Tube worm,Tube worm,Animal,sessile,Tube worm,Tube worm,Tube worm,Tube worm,Animal,sessile,NA
Tube worms,Tube worm,Animal,sessile,Tube worm,Tube worm,Tube worm,Tube worm,Animal,sessile,NA
Tube worms small,Tube worm,Animal,sessile,Tube worm,Tube worm,Tube worm,Tube worm,Animal,sessile,NA
Spirorbid tube worm,Tube worm,Animal,sessile,Tube worm,Tube worm,Tube worm,Tube worm,Animal,sessile,NA
Encrusting tunicate,Tunicata,Animal,sessile,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Orange tunicate,Tunicata,Animal,sessile,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Stalked tunicate,Tunicata,Animal,sessile,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Tunicate,Tunicata,Animal,sessile,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Unknown peach tunicate,Tunicata,Animal,sessile,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Tunicate/Sponge,Tunicata/Porifera,Animal,sessile,Tunicata/Porifera,Tunicata/Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,NA
Ulothrix palusalsa,Ulothrix palusalsa,Algae,sessile,Ulothrix palusalsa,Ulothrix palusalsa,Ulothrix palusalsa,Ulothrix palusalsa,Algae,sessile,NA
Ulothrix/Urospora,Ulothrix-Urospora sp.,Algae,sessile,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Algae,sessile,NA
Ulva expansa,Ulva expansa,Algae,sessile,Ulva expansa,Ulva expansa,Ulva,Ulva,Algae,sessile,added in 2019
Ulva fenestrata,Ulva fenestrata,Algae,sessile,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,resurrected in 2019
Ulva lactuca,Ulva fenestrata,Algae,sessile,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,resurrected in 2019
Ulva intestinalis,Ulva intestinalis,Algae,sessile,Ulva intestinalis,Ulva intestinalis,Ulva,Ulva,Algae,sessile,NA
Ulva linza,Ulva linza,Algae,sessile,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA
Ulva lobata,Ulva lobata,Algae,sessile,Ulva lobata,Ulva lobata,Ulva,Ulva,Algae,sessile,NA
Ulva prolifera,Ulva prolifera,Algae,sessile,Ulva prolifera,Ulva prolifera,Ulva,Ulva,Algae,sessile,NA
Ulva sp.,Ulva sp.,Algae,sessile,Ulva sp.,Ulva lactuca,Ulva,Ulva,Algae,sessile,Try tO FIGURE OUT FROM LOCATION
Red Crust,Unknown crust,Algae,sessile,Unknown crust,Unknown crust,Unknown crust,Unknown crust,Algae,sessile,NA
Unknown black crust,Unknown crust,Algae,sessile,Unknown crust,Unknown crust,Unknown crust,Unknown crust,Algae,sessile,NA
Unknown brown crust,Unknown crust,Algae,sessile,Unknown crust,Unknown crust,Unknown crust,Unknown crust,Algae,sessile,NA
Unknown red crust,Unknown crust,Algae,sessile,Unknown crust,Unknown crust,Unknown crust,Unknown crust,Algae,sessile,NA
Unknown red blade,Unknown red blade,Algae,sessile,Unknown red blade,Unknown red blade,Unknown red blade,Unknown red blade,Algae,sessile,NA
Unidentified turf,Unknown turf,Algae,sessile,Unknown turf,Unknown turf,Unknown turf,Unknown turf,Algae,sessile,NA
Wildmania cuneformis,Wildemania amplissima,Algae,sessile,Wildemania amplissima,Wildemania amplissima,Wildemania,Wildemania,Algae,sessile,NA
Wildmania cuneiformis,Wildemania amplissima,Algae,sessile,Wildemania amplissima,Wildemania amplissima,Wildemania,Wildemania,Algae,sessile,NA
Wildemania cuneiformis,Wildemania amplissima,Algae,sessile,Wildemania amplissima,Wildemania amplissima,Wildemania,Wildemania,Algae,sessile,NA
Wildemania cuneformis,Wildemania amplissima,Algae,sessile,Wildemania amplissima,Wildemania amplissima,Wildemania,Wildemania,Algae,sessile,NA
Wildemania norrisii,Wildemania norrisii,Algae,sessile,Wildemania norrisii,Wildemania norrisii,Wildemania,Wildemania,Algae,sessile,NA
Wildmania norrisii,Wildemania norrisii,Algae,sessile,Wildemania norrisii,Wildemania norrisii,Wildemania,Wildemania,Algae,sessile,NA
Pyropia schizophylla,Wildemania schizophylla,Algae,sessile,Wildemania schizophylla,Wildemania schizophylla,Wildemania,Wildemania,Algae,sessile,NA
Porphyra schizophylla,Wildemania schizophylla,Algae,sessile,Wildemania schizophylla,Wildemania schizophylla,Wildemania,Wildemania,Algae,sessile,NA
WOOD,Wood,Substratum,NA,Wood,Wood,Wood,Wood,Substratum,NA,NA
Pink Worm,Worm,Animal,motile,Worm,Worm,Worm,Worm,Animal,motile,NA
Worm,Worm,Animal,motile,Worm,Worm,Worm,Worm,Animal,motile,NA
Burrowing worm,Worm,Animal,motile,Worm,Worm,Worm,Worm,Animal,motile,NA
CORALLINE,,Algae,sessile,NA,NA,NA,NA,NA,NA,NA
(SESSILE INVERTS ),,Animal,sessile,NA,NA,NA,NA,NA,NA,NA
