Fidelity ,FB,MC,NB,WB, SUM,,Top 20 Faithful Species per Community >33%,,,,,,,,,Acr_sp,Acrochaetium sp.,Red
Cor_sp2,20%,0%,80%,0%,5,,,,,,,,,,,Pte_cal,Pterygophora californica,Kelp 
Mel_int,80%,0%,20%,0%,5,,,,,,,,,,,Pti_ser,Ptilota serrata (coarse),Red
Mel_med,40%,0%,0%,60%,5,,,,,,,,,,,Pti_fine,Ptilota sp. (fine),Red
Opu_cal,20%,0%,80%,0%,5,,,,,,,,,,,Pti_ten,Ptilota tenuis,Red
Pol_pan,20%,60%,20%,0%,5,,,,,,,,,,,Punct,Punctaria sp.,Brown 
Pte_cal,0%,0%,60%,40%,5,,,,,,,,,,,Pyl_lit,Pylaiella littoralis,Red
Sor_ulv,0%,20%,40%,40%,5,,,,,,,,,,,Pyr_abb,Pyropia abbottiae,Red
Wil_cun,0%,100%,0%,0%,5,,,,,,,,,,,Pyr_fal,Pyropia fallax,Red
Bli_daw,0%,0%,75%,25%,4,,,,,,,,,,,Pyr_fuc,Pyropia fucicola,Red
Cor_arb,0%,0%,25%,75%,4,,,,,,,,,,,Pyr_gar,Pyropia gardneri,Red
Des_acu,75%,0%,0%,25%,4,,,,,,,,,,,Pyr_per,Pyropia perforata,Red
Dic_sin,0%,100%,0%,0%,4,,,,,,,,,,,Pyr_pul,Pyropia pulchra,Red
Lit_imp,25%,0%,0%,75%,4,,,,,,,,,,,Pyr_sp,Pyropia sp.,Red
Lit_sp8,0%,0%,0%,100%,4,,,,,,,,,,,Ral_fun,Ralfsia fungiformis,Brown 
Ner_lue,0%,0%,50%,50%,4,,,,,,,,,,,Ral_pac,Ralfsia pacifica,Brown 
Ple_van,0%,0%,25%,75%,4,,,,,,,,,,,Ral_sp,Ralfsia sp.,Brown 
Pol_hen_lux,0%,25%,50%,25%,4,,,,,,,,,,,Rhi_tor,Rhizoclonium tortuosum,Green 
Bangia,0%,0%,33%,67%,3,,,,,,,,,,,Rho_pur,Rhodocorton purpureum,Red
Cal_sp,0%,0%,0%,100%,3,,,,,,,,,,,Rho_sp,Rhodymenia sp.,Red
Her_plu,0%,0%,0%,100%,3,,,,,,,,,,,Sac_gro,Saccharina groenlandica,Kelp 
Neo_bor,0%,100%,0%,0%,3,,,,,,,,,,,Sac_lat,Saccharina latissima,Kelp 
Plo_pac,33%,0%,67%,0%,3,,,,,,,,,,,Sac_ses,Saccharina sessilis,Kelp 
Pol_str_sen,33%,0%,33%,33%,3,,,,,,,,,,,Sal_fir,Salishia firma,Red
Pyr_gar,0%,0%,100%,0%,3,,,,,,,,,,,Sar_mut,Sargassum muticum,Brown 
brown_crust,0%,0%,100%,0%,3,,,,,,,,,,,Sch_pac,Schizymenia pacifica,Red
Acr_sp,0%,0%,100%,0%,2,,,,,,,,,,,Scy_dot,Scytosiphon dotyi,Brown 
Bli_sp,100%,0%,0%,0%,2,,,,,,,,,,,Scy_lom,Scytosiphon lomentaria,Brown 
Cha_can,100%,0%,0%,0%,2,,,,,,,,,,,Smi_nai,Smithora naiadum,Red
Gel_sp,0%,100%,0%,0%,2,,,,,,,,,,,Sor_ulv,Soranthera ulvoidea,Brown 
Gra_pac,0%,100%,0%,0%,2,,,,,,,,,,,Spa_per,Sparlingia pertusa,Red
Pte_den,0%,0%,0%,100%,2,,,,,,,,,,,Sph_rig,Sphacelaria rigidula,Brown 
Pte_cal__1,50%,0%,50%,0%,2,,,,,,,,,,,Spo_tum,Spongites tumidum,Coralline
Aga_fim,0%,100%,0%,0%,1,,,,,,,,,,,Tif_sny,Tiffaniella snyderae,Red
Bos_dic,0%,0%,100%,0%,1,,,,,,,,,,,Tok_bul,Tokidadendron bullatum,Red
Chi_bod,0%,0%,100%,0%,1,,,,,,,,,,,Ulo_Uro,Ulothrix/Urospora,Green 
Fre_sp,0%,100%,0%,0%,1,,,,,,,,,,,Ulv_int,Ulva intestinalis,Green 
Kor_lep,0%,0%,0%,100%,1,,,,,,,,,,,Ulv_lac,Ulva lactuca,Green 
Lepto,0%,100%,0%,0%,1,,,,,,,,,,,Ulv_lin,Ulva linza,Green 
Mes_van,100%,0%,0%,0%,1,,,,,,,,,,,Ulv_pro,Ulva prolifera,Green 
Odo_flo_com,100%,0%,0%,0%,1,,,,,,,,,,,Ulv_sp,Ulva sp.,Green 
Phy_fim,100%,0%,0%,0%,1,,,,,,,,,,,scuz,"Unidentified turf (scuz, etc.)",
Pol_pac_del,100%,0%,0%,0%,1,,,,,,,,,,,black_crust,Unknown black crust,
Pte_gra,0%,100%,0%,0%,1,,,,,,,,,,,brown_crust,Unknown brown crust,
Pyr_pul,100%,0%,0%,0%,1,,,,,,,,,,,red_crust,Unknown red crust,Red
Rho_sp,0%,0%,100%,0%,1,,,,,,,,,,,Wil_cun,Wildmania cuneiformis,Red
Spa_per,0%,100%,0%,0%,1,,,,,,,,,,,Wil_nor,Wildmania norrisii,
Tif_sny,100%,0%,0%,0%,1,,,,,,,,,,,rock ,BARE ROCK / SUBSTRATE (%),
Ulo_Uro,0%,0%,0%,100%,1,,,,,,,,,,,sand,Bare Sand,
Ulv_sp,0%,0%,100%,0%,1,,,,,,,,,,,,,
black_crust,100%,0%,0%,0%,1,,,,,,,,,,,,,
