Alaria.marginata,Anemone,Barnacles,Bossiella_articulate,Callithamnion.pikeanum,Ceramium.pacificum,Chamberlainium.tumidum,Cladophora.columbiana,Corallina,coralline.crust,Cryptosiphonia.woodii,Dilsea.californica,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.sessile,Hildenbrandia,Hymenena.spp.,Leathesia.marina,Lithothamnion.phymatodeum,Mastocarpus,Mazzaella.oregona,Mazzaella.parvula,Mazzaella.splendens,Microcladia.borealis,Mytilus.sp.,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.larix,Odonthalia.floccosa,Palmaria.hecatensis,Petrocelis,Phyllospadix.spp.,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Ptilota.filicina,Pyropia,Ralfsioid,Savoiea.robusta,Ulva
0,12,14,0,0,0,2,1,5,0,4,1,0,0,7,0,1,0,4,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,5,0,0,1
24,0,0,11,7,0,9,0,11,14,0,0,0,0,3,0,0,0,1,3,15,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,21,3,0,0,0,5,0,0,1
9,6,1,11,0,0,2,1,1,0,4,0,0,2,0,1,4,0,10,0,1,0,3,0,1,1,0,0,2,0,0,0,3,0,0,1,0,17,0,0,0,0,1,3,0,1
0,0,5,0,1,0,13,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,2,0,0,1
0,7,4,10,0,0,15,1,1,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,1,1,1,0,5,0,0,0,0,0,0,5,0,11,0,0,0,0,6,0,0,2
0,10,0,1,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,15,0,0,0,0,18,1,0,0
0,9,0,9,1,16,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,1,1,15,0,0,0,0,0,2,0,2
0,6,0,10,0,0,0,0,6,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,6,0,0,0,0,0,0,1
0,18,10,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,18,0,0,1
3,1,5,1,2,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,1,0,4,0,0,0,0,0,0,13,0,32,0,0,0,0,21,0,0,1
0,26,8,0,0,1,3,3,12,0,2,1,0,0,8,1,3,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,3,1
0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1
0,6,2,6,0,0,3,2,11,0,1,0,0,0,6,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,7,0,0,0,0,1,0,0,1
0,6,0,0,1,6,4,1,3,0,2,0,0,0,2,0,1,0,1,0,4,0,1,0,0,1,0,0,2,0,0,0,61,0,2,0,11,8,0,0,0,0,2,0,1,1
0,3,0,2,2,2,7,1,7,0,0,0,0,0,4,1,1,0,1,0,16,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,1,14,0,0,0,0,1,0,4,1
0,9,2,2,0,0,8,1,5,0,0,0,0,0,4,0,2,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,0,0,1
0,13,1,2,0,0,15,1,23,0,0,0,0,0,1,0,0,0,1,0,20,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,1
