taxon,taxon_corrected,lumping_notes,taxon_lumped,non-alga flag,motile_sessile,Notes
Pleonosporium vancouverianum,Pleonosporium vancouverianum,,Pleonosporium vancouverianum,Algae,sessile,
Plocamium pacificum,Plocamium pacificum,,Plocamium pacificum,Algae,sessile,
Plocamium violaceum,Plocamium violaceum,,Plocamium violaceum,Algae,sessile,
Pododesmus,Pododesmus sp.,,Pododesmus sp.,Animal,sessile,
"Barnacles, goose-necked",Pollicipes polymerus,,Pollicipes polymerus,Animal,sessile,
Gooseneck barnacles,Pollicipes polymerus,,Pollicipes polymerus,Animal,sessile,
Pollicipes,Pollicipes polymerus,,Pollicipes polymerus,Animal,motile,
Polychaete,Polychaete,,Polychaete,Animal,motile,
Polyneura latissima,Polyneura latissima,,Polyneura latissima,Algae,sessile,
Polysiphonia brodiei,Polysiphonia brodiei,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi,Polysiphonia hendryi,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. garderi,Polysiphonia hendryi var. garderi,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. gardneri,Polysiphonia hendryi var. gardneri,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. hendryi,Polysiphonia hendryi var. hendryi,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. luxuriens,Polysiphonia hendryi var. luxuriens,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polsiphonia pacifica,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
